problem,subject,attempts,tot-duration,blocks-tot,solved?,problem_characterization_studies12.nippy.problem,optimal-solution-length,trimmed-search-space,search-space,optimal?
103001,6wMCarsty8,1,25.98004,1,true,103001,1,1,0,true
103001,77t6BJL1Kt,1,18.75034,1,true,103001,1,1,0,true
103001,7mnWLhHq2w,1,21.80804,1,true,103001,1,1,0,true
103001,8YyptHFdW6,2,54.9917,1,true,103001,1,1,0,true
103001,ApRD5hFuRP,1,60.2926,1,true,103001,1,1,0,true
103001,AwlksCAtR2,2,59.51626,4,true,103001,1,1,0,false
103001,BF188s9Uii,1,54.21814,1,true,103001,1,1,0,true
103001,CRQDHb0BBl,1,20.86685,1,true,103001,1,1,0,true
103001,D8H0uWLc5n,1,17.27472,1,true,103001,1,1,0,true
103001,DKAdUagiHw,1,32.16046,1,true,103001,1,1,0,true
103001,Dsi7jcUddZ,1,22.63867,1,true,103001,1,1,0,true
103001,EYlicK3YDf,1,18.34436,1,true,103001,1,1,0,true
103001,FBcGX8lJ0M,1,30.00616,1,true,103001,1,1,0,true
103001,IyAGpGOWxl,1,21.76984,1,true,103001,1,1,0,true
103001,QjZrSZyKnC,1,33.50134,1,true,103001,1,1,0,true
103001,SKrRecOHdC,1,19.85236,1,true,103001,1,1,0,true
103001,TCoje99R0c,1,23.68134,1,true,103001,1,1,0,true
103001,TSJ3jR3RPt,1,64.47314,1,true,103001,1,1,0,true
103001,Tw0eJAMHHY,1,18.06659,1,true,103001,1,1,0,true
103001,WDU3t5mUF8,1,125.9938,2,true,103001,1,1,0,false
103001,a1hCPU5ZzZ,1,23.94678,1,true,103001,1,1,0,true
103001,aI53Bauq4G,1,18.02124,1,true,103001,1,1,0,true
103001,bVdRptKPbL,1,25.0246,1,true,103001,1,1,0,true
103001,cDaD1IqGWx,1,38.6001,1,true,103001,1,1,0,true
103001,cM5vFuUu9E,1,42.50806,1,true,103001,1,1,0,true
103001,eUFuTiKxCh,1,16.93704,1,true,103001,1,1,0,true
103001,exleZEgEta,1,21.40417,1,true,103001,1,1,0,true
103001,hYt8Q4RENO,1,62.86658,1,true,103001,1,1,0,true
103001,ikv6BYKMin,1,47.1792,1,true,103001,1,1,0,true
103001,j1sZryfkmn,1,19.48523,1,true,103001,1,1,0,true
103001,jjvNLxTA8D,1,24.36145,1,true,103001,1,1,0,true
103001,joYCi1fiRE,1,17.17145,1,true,103001,1,1,0,true
103001,jpwBoyCm4E,1,28.75012,1,true,103001,1,1,0,true
103001,kJzweLKxF3,1,24.73486,1,true,103001,1,1,0,true
103001,lpiVezyLR4,1,64.80396,1,true,103001,1,1,0,true
103001,lqzUj7p1QS,1,22.55316,1,true,103001,1,1,0,true
103001,nVcdl2lXnc,1,37.59863,1,true,103001,1,1,0,true
103001,rtvmQC6O2v,1,78.04352,2,true,103001,1,1,0,false
103001,uIEIvrbvsn,1,21.39172,1,true,103001,1,1,0,true
103001,vP1D7seEru,1,29.11664,1,true,103001,1,1,0,true
103001,w3M4zEv4n8,1,27.66095,1,true,103001,1,1,0,true
103001,wmhKzuZxJY,1,21.83936,1,true,103001,1,1,0,true
103001,zjcjHJcCTb,1,37.64539,1,true,103001,1,1,0,true
101015,6wMCarsty8,1,24.52472,2,true,101015,1,2,9,false
101015,77t6BJL1Kt,1,14.51682,2,true,101015,1,2,9,false
101015,7mnWLhHq2w,1,17.55493,2,true,101015,1,2,9,false
101015,8YyptHFdW6,2,55.83542,2,true,101015,1,2,9,false
101015,ApRD5hFuRP,1,45.05115,1,true,101015,1,2,9,true
101015,AwlksCAtR2,1,18.14905,2,true,101015,1,2,9,false
101015,BF188s9Uii,1,89.89148,8,true,101015,1,2,9,false
101015,CRQDHb0BBl,1,12.08344,2,true,101015,1,2,9,false
